x1,x2,x3,x4,y
0.6888437031,0.5159088059,-0.1588568383,-0.4821664994,2.5068665020
0.0225494427,-0.1901317251,0.5675971781,-0.3933745478,2.1569490759
-0.0468060917,0.1667640789,0.8162257704,0.0093737116,2.0412512694
-0.4363243112,0.5116084083,0.2367379934,-0.4989873173,0.6336072750
0.8194925119,0.9655709521,0.6204344720,0.8043319009,3.1839831080
-0.3797048614,0.4596634965,0.7976765759,0.3679678638,1.3859969765
-0.0557145691,-0.7985975839,-0.1316563291,0.2217739469,2.6533131965
0.8260221065,0.9332127355,-0.0459804469,0.7306198555,2.9914339905
-0.4790153792,0.6100556540,0.0973986077,-0.9719165997,0.1829700721
0.4394093728,-0.2023529156,0.6496899543,0.3363064025,3.1313375438
-0.9977143614,-0.0128442671,0.7352055510,-0.5121782462,0.4858634657
-0.3495912745,0.7409424642,-0.6178658170,0.1350214812,0.6247698498
-0.5227681428,0.9350805006,0.6063589386,-0.1040608571,0.3987476148
-0.8391083629,-0.3598907907,0.0158812850,0.8656676485,1.6242521132
-0.7818843081,0.1025344922,0.4131228197,0.0948818227,0.8688840413
0.6289337266,0.0805672139,0.9276770919,0.2063712559,3.2907214790
0.1752341284,-0.1100219474,0.1925737232,-0.2301977081,2.2819807019
0.1513020283,-0.4193409952,-0.6212173429,-0.6265409435,2.0249513302
0.2255463597,0.3133187780,-0.0469380160,-0.8203512776,1.7054913115
0.5152078439,0.7535407416,0.8467620319,0.6849204463,2.9502012134
0.7963462427,0.8461648796,0.0811998499,-0.2174078995,2.6132698261
0.4105667997,-0.4487317574,0.6232574170,0.6989719304,3.4063008432
0.7900779349,0.1796023671,0.8995297465,0.1593900215,3.4735805523
-0.0988737867,0.3204907572,0.9925156787,0.8338824359,2.2910083792
0.5866501683,-0.8352540236,0.2255662101,-0.0271115961,3.4033075508
0.2602946808,0.6901551513,-0.5139287559,0.4629784416,2.0182722805
-0.7657314136,-0.5590789263,0.5891659434,-0.3349277016,1.4998006564
0.6318261931,-0.7987849596,-0.7072830222,0.3953412804,3.3725745812
-0.9095318643,0.1477320736,0.8200320294,0.0683959365,0.7192695711
0.3611782651,-0.9466064107,0.2699998198,0.2126768355,3.3153773921
0.1519058961,-0.2175811814,-0.2597201193,0.9610333013,2.7847257655
-0.9272159248,-0.9567269803,0.9220625605,-0.6300561172,1.4285601494
-0.7522096712,-0.5788469802,0.6014931807,0.8739383173,2.1452220630
-0.9544348487,-0.1487623361,-0.7969995613,-0.4801602204,0.2908151749
-0.5583414574,0.2938514397,-0.2994120652,-0.6393641969,0.4233863011
0.0072730104,-0.9212425858,-0.7981575176,0.9764702974,2.9926716243
-0.6012884191,-0.2828893974,0.4631966125,0.6766531304,1.8993512628
0.8369641240,-0.6611507878,0.3452811271,0.9330978061,4.1552966582
-0.8838981123,0.3524035686,0.6908491874,-0.3153749178,0.2809408360
-0.4986253214,0.1935827869,-0.1153719326,-0.6503610311,0.6802945432
